خطاب	خطاب
تو ميطط اهنسس اْ مارا كثثرٌا سي سايه كروطط – اْم فرماوينسس ثثوتانا ثثوشاك ني طرف إشارة كرتا- يه مولى ني خالص	تو ميں اهنے اْ مارا كپرٌا سي سايه كروں – اْم فرماوينے پوuni062A0627.isoluni06460627.isol پوشاك ني طرف إشارة كرuni062A0627.isol- يه مولى ني خالص
محبة كرينسس ثثاك ولادة حاصل كرنار اثثن سككلا ؛،	محبة كرينے پاك ولادة حاصل كرuni06460627.isolر اپن سگلا ؛،
اْثثنا نوشاني مولاتنا فاطمة الزهراء ؛	اْپuni06460627.isol نوشاني مولاتuni06460627.isol فاuni06370645.liga.init.mediة الزهراء ؛
كه جه مولاة نا نام ني تسبيح هر نماز نا بعدكرينسس هر روز 5,000 حسنة حاصل كرنار اثثن سككلا ؛،	uni06430647.liga.init.fina uni062C06BE.liga.init.medi مولاة uni06460627.isol uni06460627.isolم ني تسبيح هر uni064606450627.finaز uni06460627.isol بعدكرينے هر روز 5,000 حسنة حاصل كرuni06460627.isolر اپن سگلا ؛،
يه مولاة نا بسس شظظزاده،	يه مولاة uni06460627.isol بے شظظزاده،
اْنكهو نا نور حسن انسس حسين ني ككهني انسس ككهني محبة كرينسس يه بيوسس مولى ثثر ككهنا انسس ككهنا اْنسوطط	اْنuni06430647.liga.init.finaو uni06460627.isol نور حسن انے حسين ني گهني انے گهني محبة كرينے يه بيوے مولى پر گهuni06460627.isol انے گهuni06460627.isol اْنسوں
بظظاوينسس انسس ككهنو انسس ككهنو مأتم كرينسس هر ككناه نا ميل سي صاف انسس ثثاك نا تهانار اثثن سككلا ؛،	بظظاوينے انے گهنو انے گهنو مأتم كرينے هر گuni06460627.isolه uni06460627.isol ميل سي صاف انے پاك uni06460627.isol uni062A06BE.liga.init.mediاuni06460627.isolر اپن سگلا ؛،
اْثثنجتن ثثاك ني نسل ما أئمة طاهرين تهيا كه جه سككلا نسس كساء التطهير ني وراثة ثثظظنححي ؛،	اْپنجتن پاك ني نسل ما أئمة طاهرين uni062A06BE.liga.init.mediيا uni06430647.liga.init.fina uni062C06BE.liga.init.medi سگلا نے كساء التطuni0647064A.liga.medi.finaر ني وراثة پظظنچي ؛،
يه أئمة طاهر ني دعوة نسس جواب نا دينار اثثن سككلا ؛،	يه أئمة طاهر ني دعوة نے جواب uni06460627.isol ديuni06460627.isolر اپن سگلا ؛،
يه امامو نا سلسلة ما ايكويسما امام نرالا تشريف لايا،	يه امامو uni06460627.isol سلسلة ما ايكويuni063306450627.liga.init.medi.fina امام نرالا تشريف لايا،
اْثث مولى نو نام} طيب ؛	اْپ مولى نو uni06460627.isolم} uni0637064A.liga.init.finaب ؛
كه جه ني معنى ثثاك ني ؛،	uni06430647.liga.init.fina uni062C06BE.liga.init.medi ني معنى پاك ني ؛،
يه مولى يه ستر نسس اختيار كيدو - choose – كيدو انسس اْثثني غيبة ما غير حاضري ما اهوا دعاة نسس مولاتنا حرة	يه مولى يه ستر نے اختيار كيدو - choose – كيدو انے اْپني uni063A064A.liga.init.finaبة ما uni063A064A.liga.init.finaر حاضري ما اهوا دعاة نے مولاتuni06460627.isol حرة
الملكة نا هاتهـ ثثر قائم كيدا كه جه دعاة كرام مؤمنين نا باوا بهي ؛	الملuni06430629.liga.init.fina uni06460627.isol هاuni062A06BE0640.liga.init.medi پر قائم كيدا uni06430647.liga.init.fina uni062C06BE.liga.init.medi دعاة كرام مؤمنين uni06460627.isol uni06280627.isolوا uni062806BE.liga.init.mediي ؛
انسس ماطط بهي ؛،	انے ماں uni062806BE.liga.init.mediي ؛،
هر حالة ما مؤمنين ني خير خواهي انسس بظظبودككي نا سوى كئي ححاهتا نتهي!	هر حالة ما مؤمنين ني uni062E064A.liga.init.finaر خواuni0647064A.liga.medi.fina انے بظظبودگي uni06460627.isol سوى كئي چاهuni062A0627.isol نuni062A06BE.liga.init.mediي!
يه اهوا دعاة ؛	يه اهوا دعاة ؛
كه جه ني شان ما مولانا طاهر سيف الدين اْقا ايم فرماوسس ؛	uni06430647.liga.init.fina uni062C06BE.liga.init.medi ني شان ما مولاuni06460627.isol طاهر سيف الدين اْقا ايم فرماوے ؛
كم عيوب للمجرمين اساؤا * هم بإحسانهم لها ساترونا	كم uni0639064A.liga.init.finaوب لuni06440645062C.initرمين اساؤا * uni06470645.liga.medi.fina بإحساuni064606BE.liga.init.mediم لها ساتروuni06460627.isol
كه يه دعاة جو كوئي مؤمن سي ككناه نو عمل تهائي يا كوئي نا مناسب عمل تهائي تو يه سككلا يه مؤمن ثثر إحسان كرينسس	uni06430647.liga.init.fina يه دعاة جو كوئي مؤمن سي گuni06460627.isolه نو عمل uni062A06BE.liga.init.mediائي يا كوئي uni06460627.isol مuni06460627.isolسب عمل uni062A06BE.liga.init.mediائي تو يه سگلا يه مؤمن پر إحسان كرينے
ثثرده كرسس ؛،	پرده كرے ؛،
اهنا عيب نسس كشف نتهي كرتا،	اهuni06460627.isol uni0639064A.liga.init.finaب نے كشف نuni062A06BE.liga.init.mediي كرuni062A0627.isol،
يه دعاة نا سلسلة ما ايكاونما داعي عجب شان نا اْيا كه جه مولى يه دعوة نا اْنككن نسس دشمنو ني ناثثاكي سي ثثاك	يه دعاة uni06460627.isol سلسلة ما ايكاوuni064606450627.fina داuni0639064A.liga.init.fina عجب شان uni06460627.isol اْيا uni06430647.liga.init.fina uni062C06BE.liga.init.medi مولى يه دعوة uni06460627.isol اْنگن نے دuni06340645.liga.medi.finaنو ني uni06460627.isolپاكي سي پاك
كيدا،	كيدا،
انسس ايم كيم نه هوئي درا حال كه يه مولى نو نام مبارك } "طاهر" ؛	انے ايم كيم uni064606BE.liga.init.medi هوئي درا حال uni06430647.liga.init.fina يه مولى نو uni06460627.isolم مuni06280627.isolرك } "طاهر" ؛
،	،
اْثثنا منصوص انسس وارث،	اْپuni06460627.isol منصوص انے وارث،
هر شان ما هم مثل مولانا محمد برهان الدين ؛	هر شان ما uni06470645.liga.medi.fina مثل مولاuni06460627.isol محمد برهان الدين ؛
كه جه مولى يه ثثححاس سال لكك مؤمنين ني ككهنا ناز و نعم سي تربية كيدي،	uni06430647.liga.init.fina uni062C06BE.liga.init.medi مولى يه پچاس سال لگ مؤمنين ني گهuni06460627.isol uni06460627.isolز و نعم سي تربية كيدي،
يه دعاة نو هر ككهرٌي انسس هر لحظة شكر كرنار اثثن سككلا ؛،	يه دعاة نو هر گهرٌي انے هر لحظة شكر كرuni06460627.isolر اپن سگلا ؛،
يه دعاة نسس خدا تعالى اثثنا سككلا طرف سي افضل الجزاء اْثثجو!	يه دعاة نے خدا تعالى اپuni06460627.isol سگلا طرف سي افضل الجزاء اْپجو!
يه دعاة ني مالا نا روثثالا موتي انسس در،	يه دعاة ني مالا uni06460627.isol روپالا موتي انے در،
جه مولى ؛	uni062C06BE.liga.init.medi مولى ؛
هر مؤمن نا رهبر،	هر مؤمن uni06460627.isol رهبر،
جه ؛	uni062C06BE.liga.init.medi ؛
شه محمد نا دلبر ،	شه محمد uni06460627.isol دلبر ،
ارسس بلكه ؛	ارے بلuni06430647.liga.init.fina ؛
امام نا مظهر،	امام uni06460627.isol مظهر،
جه نا دل ما هر اْطط مؤمن ني فكر،	uni062C06BE.liga.init.medi uni06460627.isol دل ما هر اْں مؤمن ني فكر،
جه نا سي هر دم طلب ؛	uni062C06BE.liga.init.medi uni06460627.isol سي هر دم طلب ؛
أيك نظر ،	أيك نظر ،
عجب ميضضهاس ؛	عجب ميٹهاس ؛
اْثثنا نام ما انسس عجب اهني قدر،	اْپuni06460627.isol uni06460627.isolم ما انے عجب اهني قدر،
مولانا سيف الدين عالي قدر،	مولاuni06460627.isol سيف الدين عالي قدر،
تمام دعاة نا ثثظظلا مفضل ؛،	uni062A06450627.finaم دعاة uni06460627.isol پظظلا مفضل ؛،
اْثثني شان ني حيرة ما هر عقل ؛،	اْپني شان ني uni062D064A.liga.init.finaرة ما هر عقل ؛،
اْثثني طرف شوق راكهسس هر مؤمن نو دل ؛،	اْپني طرف شوق راuni06430647.liga.init.finaے هر مؤمن نو دل ؛،
يه مولى نسس أسس ثثروردككار تُو صحة انسس عافية ما باقي باقي انسس باقي راكهجسس كيم كه اْثثني بقاء نا سبب بقاء	يه مولى نے أے پروردگار تُو صحة انے عاuni0641064A.liga.medi.finaة ما uni06280627.isoluni0642064A.liga.medi.fina uni06280627.isoluni0642064A.liga.medi.fina انے uni06280627.isoluni0642064A.liga.medi.fina راuni06430647.liga.init.finaجے كيم uni06430647.liga.init.fina اْپني بقاء uni06460627.isol سبب بقاء
كُل ؛،	كُل ؛،
عصمة ني ذكر	عصمة ني ذكر
أسس خير نا طلب ككارو!	أے uni062E064A.liga.init.finaر uni06460627.isol طلب گارو!
تميطط يه جيم همنا سُنو كه ثثنجتن ثثاك نسس خدا تعالى يه هر طرح نا شر سي بدي سي ثثاك راكها ؛	تميں يه uni062C064A.liga.init.finaم uni06470645.liga.medi.finauni06460627.isol سُنو uni06430647.liga.init.fina پنجتن پاك نے خدا تعالى يه هر طرح uni06460627.isol شر سي بدي سي پاك راuni06430647.liga.init.finaا ؛
يه سككلا عصمة نا صاحبو ؛،	يه سگلا عصمة uni06460627.isol صاحبو ؛،
عصمة ني سوطط معنى كه يه سككلا نسس خدا يه اهوي شان بخشي ؛	عصمة ني سوں معنى uni06430647.liga.init.fina يه سگلا نے خدا يه اهوي شان بخشي ؛
كه يه سككلا:	uni06430647.liga.init.fina يه سگلا:
كوئي وقت جهوضضو نظظيطط بولسس	كوئي وقت uni062C06BE.liga.init.mediوٹو نظuni0638064A.liga.init.finaں بولے
كوئي وقت عدل نا خلاف – انصاف نا خلاف عمل نظظيطط كرسس،	كوئي وقت عدل uni06460627.isol خلاف – انصاف uni06460627.isol خلاف عمل نظuni0638064A.liga.init.finaں كرے،
كوئي وقت كوئي نا اوثثر ظلم نظظيطط كرسس	كوئي وقت كوئي uni06460627.isol اوپر ظلم نظuni0638064A.liga.init.finaں كرے
انسس هر صاحب اْثثنا ثثححهي اْؤنار صاحب ثثر نص كرينسس} وفاة تهاسسس،	انے هر صاحب اْپuni06460627.isol پچuni0647064A.liga.medi.fina اْؤuni06460627.isolر صاحب پر نص كرينے} وفاة uni062A06BE.liga.init.mediاےس،
ايم امة نسس بتاوينسس} جاسسس كه مارا ثثححهي تمارا مولى كون ؛،	ايم امة نے بuni062A0627.isolوينے} جاےس uni06430647.liga.init.fina مارا پچuni0647064A.liga.medi.fina uni062A06450627.finaرا مولى كون ؛،
جه مثل رسول الله صلع يه غدير خم نا دن عمل فرمايو انسس مولانا علي نا اوثثر 70 هزار مسلمين نا درميان نص فرماوي،	uni062C06BE.liga.init.medi مثل رسول االله صلع يه غدير خم uni06460627.isol دن عمل فرمايو انے مولاuni06460627.isol علي uni06460627.isol اوپر 70 هزار مسلمين uni06460627.isol درميان نص فرماوي،
جه سككلا يه اْثثني طاعة كيدي انسس اْثثنا وفاة نا بعد امير المؤمنين نا ساتهسس رهيا يه سككلا سي رسول الله صلع	uni062C06BE.liga.init.medi سگلا يه اْپني طاعة كيدي انے اْپuni06460627.isol وفاة uni06460627.isol بعد امير المؤمنين uni06460627.isol ساuni062A06BE.liga.init.mediے رuni0647064A.liga.medi.finaا يه سگلا سي رسول االله صلع
ككهنا خوش هتا يه خبر نسس مولانا علي صع اْثثنا شيعة نسس اْثثسس ؛،	گهuni06460627.isol خوش هuni062A0627.isol يه خبر نے مولاuni06460627.isol علي صع اْپuni06460627.isol شيعة نے اْپے ؛،
مولانا محمد برهان الدين اْقا اْ ذكر كرتاهوا فرماوسس ؛:	مولاuni06460627.isol محمد برهان الدين اْقا اْ ذكر كرuni062A0627.isolهوا فرماوے ؛:
ذروة الاسلام الشيعة	ذروة الاسلام الشيعة
امير المؤمنين ارشاد كرسس ححهسس " ابشروا!	امير المؤمنين ارشاد كرے چهے " ابشروا!
فوالله لقد مات رسول الله وهو راض عنكم أيها الشيعة!	فواالله لقد مات رسول االله وهو راض عنكم أيها الشيعة!
الا ان لكل شئي ذروة و ذروة الاسلام الشيعة هشيار هر ححيز واسطسس ايك ضضونحح هوئي ححهسس هر مخلوق ما خدا ني حكمة	الا ان لكل شئي ذروة و ذروة الاسلام الشيعة هشيار هر چيز واسطے ايك ٹونچ هوئي چهے هر مخلوق ما خدا ني حكمة
يه ححهسس كه ايك ضضونحح نا محل ما هوئي ححهسس .	يه چهے uni06430647.liga.init.fina ايك ٹونچ uni06460627.isol محل ما هوئي چهے .
ايك نيححا ايك اونححا ايم خدا يه كيدا ححهسس.	ايك نيچا ايك اونچا ايم خدا يه كيدا چهے.
جيم حجر ما , معدن ما , نبات ما , حيوان ما , يه} مثل انسان حيوان كرتا اعلى ححهسس.مككر انسان ما طبقات ححهسس.	uni062C064A.liga.init.finaم حجر ما , معدن ما , نuni06280627.isolت ما , uni062D064A.liga.init.finaوان ما , يه} مثل انسان uni062D064A.liga.init.finaوان كرuni062A0627.isol اعلى چهے.مگر انسان ما طبقات چهے.
تو اسلام دين الله ححهسس.	تو اسلام دين االله چهے.
اسلام ني ضضونحح ما كون ححهسس ؟	اسلام ني ٹونچ ما كون چهے ؟
كه شيعة .	uni06430647.liga.init.fina شيعة .
هشيار هر ححيز واسطسس دعامة ححهسس تهنبو هوئي ححهسس , اسلام نا دعامة كون ححهسس كه شيعة .هشيار هر ححيز واسطسس شرف	هشيار هر چيز واسطے دعامة چهے uni062A06BE.liga.init.mediنبو هوئي چهے , اسلام uni06460627.isol دعامة كون چهے uni06430647.liga.init.fina شيعة .هشيار هر چيز واسطے شرف
هوئي ححهسس , اسلام نو شرف سوطط ححهسس كه شيعة .	هوئي چهے , اسلام نو شرف سوں چهے uni06430647.liga.init.fina شيعة .
هر ححيز واسطسس سيد هوئي ححهسس سردار هوئي ححهسس, مجلس نو سردار كون ححهسس كوني مجلس كه شيعة ني مجلس , دعوة الحق	هر چيز واسطے سيد هوئي چهے سردار هوئي چهے, مجلس نو سردار كون چهے كوني مجلس uni06430647.liga.init.fina شيعة ني مجلس , دعوة الحق
ني مجلس اهني بهاء , بهجة , رونق , بركة ،	ني مجلس اهني uni062806BE.liga.init.mediاء , uni062806BE.liga.init.mediجة , رونق , برuni06430629.liga.init.fina ،
سعادة, زيب , زينة , روشني يه} ححهسس .	سعادة, زيب , زينة , روشني يه} چهے .
دنيا ما تمام جككه تميطط جئي نسس ديكهو تو اهنا مقابل نظر نهيطط اْوسس.	دنيا ما uni062A06450627.finaم جگه تميں جئي نے ديuni06430647.liga.init.finaو تو اهuni06460627.isol مقابل نظر uni064606BE.liga.init.mediيں اْوے.
مؤمنين ني جماعة !	مؤمنين ني جماعة !
اهني اْداب , اْ مجلس ني اْداب اهني بركة يه شان ني ححهسس.	اهني اْداب , اْ مجلس ني اْداب اهني برuni06430629.liga.init.fina يه شان ني چهے.
هشيار هر ححيز واسطسس امان هوئي ححهسس , زمين نو امان كون ححهسس كه شيعة امام الزمان امان الانام ححهسس.	هشيار هر چيز واسطے امان هوئي چهے , زمين نو امان كون چهے uni06430647.liga.init.fina شيعة امام الزمان امان الاuni06460627.isolم چهے.
انسس امام الزمان نا تابعين يه سككلا امام الزمان نا طفيل ما انام يعني خلقة يه خلقة ما امان بنسس ححهسس.	انے امام الزمان uni06460627.isol uni062A0627.isolبuni0639064A.liga.init.finaن يه سگلا امام الزمان uni06460627.isol طuni0641064A.liga.medi.finaل ما اuni06460627.isolم يعني خلقة يه خلقة ما امان بنے چهے.
اْ شيعة اهنا سبب خدا عالم نسس امان اْثثسس ححهسس.	اْ شيعة اهuni06460627.isol سبب خدا عالم نے امان اْپے چهے.
امان هوئي تو ايمان هوئي تو اهنا سبب ححهسس.	امان هوئي تو ايمان هوئي تو اهuni06460627.isol سبب چهے.
خدا نا قسم زمين ما تمارا ما سي كوئي نه هوئي تو تمارا خلاف نا لوككو طيبات الرزق حاصل نه كري سكسس, دنيا نا متاع	خدا uni06460627.isol قuni06330645.liga.medi.fina زمين ما uni062A06450627.finaرا ما سي كوئي uni064606BE.liga.init.medi هوئي تو uni062A06450627.finaرا خلاف uni06460627.isol لوگو uni0637064A.liga.init.finauni06280627.isolت الرزق حاصل uni064606BE.liga.init.medi كري سكے, دنيا uni06460627.isol مuni062A0627.isolع
نسس لوككو حاصل كري سكسس ححهسس تو تمارا سبب اسس مؤمنين !	نے لوگو حاصل كري سكے چهے تو uni062A06450627.finaرا سبب اے مؤمنين !
كيم كه تميطط كون ححهو ؟	كيم uni06430647.liga.init.fina تميں كون چهو ؟
تماري قدر تميطط بوجهو .	uni062A06450627.finaري قدر تميں بوuni062C06BE.liga.init.mediو .
وه نبي ني امة ححهو كه جه نبي ني شان ما خدا فرماوسس ححهسس " لولاك لما خلقت الافلاك " يه نبي سي مؤتمين امامة نا	وه نبي ني امة چهو uni06430647.liga.init.fina uni062C06BE.liga.init.medi نبي ني شان ما خدا فرماوے چهے " لولاك لما خلقت الافلاك " يه نبي سي مؤتمين امامة uni06460627.isol
ثثرهنار تميطط سككلا ححهو مؤتمين بالامام نماز ثثرهنا تميطط ححهو , غير نهيطط , غير تو امام ثثوتانا نا من تهكي	پرهuni06460627.isolر تميں سگلا چهو مؤتمين uni06280627.isolلامام uni064606450627.finaز پرهuni06460627.isol تميں چهو , uni063A064A.liga.init.finaر uni064606BE.liga.init.mediيں , uni063A064A.liga.init.finaر تو امام پوuni062A0627.isoluni06460627.isol uni06460627.isol من uni062A06BE.liga.init.mediكي
قائم كري لسس يه امام نه كهوائي اهنسس اْككسس كري ليدا , ته سي امام نه تهيا .	قائم كري لے يه امام uni064606BE.liga.init.medi uni06430647.liga.init.finaوائي اهنے اْگے كري ليدا , uni062A06BE.liga.init.medi سي امام uni064606BE.liga.init.medi uni062A06BE.liga.init.mediيا .
